participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
681b781064a5701a5ceee3bc,#2E7D5B,False,0.7,1.0,1.0,0.75,0.06999999999999995
681b781064a5701a5ceee3bc,#2E7D5B,True,0.72,0.0,0.0,0.05,0.06999999999999995
681b781064a5701a5ceee3bc,#2E7D5B,False,0.6,0.0,0.0,0.5,0.17000000000000004
681b781064a5701a5ceee3bc,#2E7D5B,False,0.72,0.0,0.0,0.30000000000000004,0.17000000000000004
681b781064a5701a5ceee3bc,#2E7D5B,False,0.62,1.0,1.0,0.6,0.06999999999999995
681b781064a5701a5ceee3bc,#2E7D5B,True,0.4,1.0,1.0,0.050000000000000044,0.17000000000000004
681b781064a5701a5ceee3bc,#2E7D5B,False,0.64,0.0,0.0,0.0,0.17000000000000004
681b781064a5701a5ceee3bc,#2E7D5B,False,0.54,0.0,0.0,0.35,0.17000000000000004
681b781064a5701a5ceee3bc,#2E7D5B,False,0.56,0.0,0.0,0.8,0.17000000000000004
6931bc7a9286300ba24d7703,#2E5C8A,False,0.58,0.0,0.0,0.75,0.17000000000000004
6931bc7a9286300ba24d7703,#2E5C8A,False,0.62,1.0,0.8,0.55,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.44,1.0,0.4,0.7,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,True,0.66,1.0,0.8,0.6,0.17000000000000004
6931bc7a9286300ba24d7703,#2E5C8A,False,0.62,1.0,1.0,0.5,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.5,1.0,0.6,0.5,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.5800000000000001,1.0,1.0,0.6,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,True,0.6599999999999999,0.0,0.8,0.25,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.68,1.0,0.8,0.5,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.62,0.0,0.4,0.6,0.17000000000000004
6931bc7a9286300ba24d7703,#2E5C8A,False,0.62,0.0,0.0,0.6,0.17000000000000004
6931bc7a9286300ba24d7703,#2E5C8A,True,0.62,0.0,0.6,0.2,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.62,1.0,1.0,0.35,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.56,1.0,0.8,1.0,0.06999999999999995
6931bc7a9286300ba24d7703,#2E5C8A,False,0.6,0.0,0.4,0.7,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.48,0.0,0.8,0.55,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.52,0.0,0.0,0.7,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.74,0.0,0.4,0.65,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,True,0.54,0.0,0.6,0.4,0.06999999999999995
6931bc7a9286300ba24d7703,#2E7D5B,False,0.52,0.0,0.6,0.55,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.58,0.0,0.4,0.85,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,False,0.66,0.0,0.6,0.65,0.17000000000000004
6931bc7a9286300ba24d7703,#2E7D5B,True,0.6,1.0,1.0,0.3,0.17000000000000004
